smear,mass,nbins,Z
0.000000000000000000e+00,2.000000000000000111e-01,4.000000000000000000e+00,1.402868008326413118e+00
0.000000000000000000e+00,2.000000000000000111e-01,5.000000000000000000e+00,1.379428292723978933e+00
0.000000000000000000e+00,2.000000000000000111e-01,6.000000000000000000e+00,1.329542088101774988e+00
0.000000000000000000e+00,2.000000000000000111e-01,7.000000000000000000e+00,1.318082975870448648e+00
0.000000000000000000e+00,2.000000000000000111e-01,8.000000000000000000e+00,1.302003653197075783e+00
0.000000000000000000e+00,2.000000000000000111e-01,9.000000000000000000e+00,1.283737124195796442e+00
0.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000000e+01,1.269674190083309506e+00
0.000000000000000000e+00,2.000000000000000111e-01,1.100000000000000000e+01,1.252442501139847897e+00
0.000000000000000000e+00,2.000000000000000111e-01,1.200000000000000000e+01,1.232326835826143663e+00
0.000000000000000000e+00,2.000000000000000111e-01,1.300000000000000000e+01,1.211145407135063357e+00
0.000000000000000000e+00,2.000000000000000111e-01,1.400000000000000000e+01,1.194448715673728234e+00
0.000000000000000000e+00,2.000000000000000111e-01,1.500000000000000000e+01,1.171533877335105833e+00
0.000000000000000000e+00,2.000000000000000111e-01,1.600000000000000000e+01,1.149910833678057465e+00
0.000000000000000000e+00,2.000000000000000111e-01,1.700000000000000000e+01,1.133556792955142445e+00
0.000000000000000000e+00,2.000000000000000111e-01,1.800000000000000000e+01,1.115894905684702509e+00
0.000000000000000000e+00,2.000000000000000111e-01,1.900000000000000000e+01,1.099360368619012096e+00
0.000000000000000000e+00,2.000000000000000111e-01,2.000000000000000000e+01,1.080342433411472181e+00
0.000000000000000000e+00,2.000000000000000111e-01,2.100000000000000000e+01,1.066432433894541010e+00
0.000000000000000000e+00,2.000000000000000111e-01,2.200000000000000000e+01,1.054678918585825187e+00
0.000000000000000000e+00,2.000000000000000111e-01,2.300000000000000000e+01,1.041852251078657421e+00
0.000000000000000000e+00,2.000000000000000111e-01,2.400000000000000000e+01,1.023062229423280289e+00
0.000000000000000000e+00,2.000000000000000111e-01,2.500000000000000000e+01,1.014415160833515017e+00
0.000000000000000000e+00,2.000000000000000111e-01,2.600000000000000000e+01,1.004879111916507251e+00
0.000000000000000000e+00,2.000000000000000111e-01,2.700000000000000000e+01,9.941634763849713785e-01
0.000000000000000000e+00,2.000000000000000111e-01,2.800000000000000000e+01,9.847644449595492899e-01
0.000000000000000000e+00,2.000000000000000111e-01,2.900000000000000000e+01,9.712288762327349056e-01
0.000000000000000000e+00,2.000000000000000111e-01,3.000000000000000000e+01,9.657645287943277257e-01
0.000000000000000000e+00,2.000000000000000111e-01,3.100000000000000000e+01,9.532396317794983309e-01
0.000000000000000000e+00,2.000000000000000111e-01,3.200000000000000000e+01,9.444525989659429133e-01
0.000000000000000000e+00,2.000000000000000111e-01,3.300000000000000000e+01,9.297918191363805374e-01
0.000000000000000000e+00,2.000000000000000111e-01,3.400000000000000000e+01,9.261798767540424526e-01
0.000000000000000000e+00,2.000000000000000111e-01,3.500000000000000000e+01,9.170565124496915521e-01
0.000000000000000000e+00,2.000000000000000111e-01,3.600000000000000000e+01,9.111494060058623612e-01
0.000000000000000000e+00,2.000000000000000111e-01,3.700000000000000000e+01,9.059394048969541258e-01
0.000000000000000000e+00,2.000000000000000111e-01,3.800000000000000000e+01,8.985283853801099285e-01
0.000000000000000000e+00,2.000000000000000111e-01,3.900000000000000000e+01,8.901550905546679049e-01
0.000000000000000000e+00,2.000000000000000111e-01,4.000000000000000000e+01,8.892009600591944674e-01
0.000000000000000000e+00,2.000000000000000111e-01,4.100000000000000000e+01,8.803260503120313718e-01
0.000000000000000000e+00,2.000000000000000111e-01,4.200000000000000000e+01,8.859968604388601676e-01
0.000000000000000000e+00,2.000000000000000111e-01,4.300000000000000000e+01,8.665888387078326538e-01
0.000000000000000000e+00,2.000000000000000111e-01,4.400000000000000000e+01,8.706533621894019248e-01
0.000000000000000000e+00,2.000000000000000111e-01,4.500000000000000000e+01,8.617698011321522911e-01
0.000000000000000000e+00,2.000000000000000111e-01,4.600000000000000000e+01,8.539672665721006473e-01
0.000000000000000000e+00,2.000000000000000111e-01,4.700000000000000000e+01,8.479014694665598650e-01
0.000000000000000000e+00,2.000000000000000111e-01,4.800000000000000000e+01,8.490494354018379708e-01
0.000000000000000000e+00,2.000000000000000111e-01,4.900000000000000000e+01,8.315504481007079951e-01
0.000000000000000000e+00,2.000000000000000111e-01,5.000000000000000000e+01,8.327347029590486116e-01
0.000000000000000000e+00,2.000000000000000111e-01,5.100000000000000000e+01,8.284823203792717194e-01
0.000000000000000000e+00,2.000000000000000111e-01,5.200000000000000000e+01,8.200088609296836140e-01
0.000000000000000000e+00,2.000000000000000111e-01,5.300000000000000000e+01,8.209908384304076545e-01
0.000000000000000000e+00,2.000000000000000111e-01,5.400000000000000000e+01,8.130138190738220860e-01
0.000000000000000000e+00,2.000000000000000111e-01,5.500000000000000000e+01,8.079444356509331016e-01
0.000000000000000000e+00,2.000000000000000111e-01,5.600000000000000000e+01,8.061635702480064447e-01
0.000000000000000000e+00,2.000000000000000111e-01,5.700000000000000000e+01,7.971712315641219515e-01
0.000000000000000000e+00,2.000000000000000111e-01,5.800000000000000000e+01,7.957852960183858793e-01
0.000000000000000000e+00,2.000000000000000111e-01,5.900000000000000000e+01,7.927735662782007253e-01
1.000000000000000000e+00,2.000000000000000111e-01,4.000000000000000000e+00,1.390056544550020368e+00
1.000000000000000000e+00,2.000000000000000111e-01,5.000000000000000000e+00,1.357315755796490331e+00
1.000000000000000000e+00,2.000000000000000111e-01,6.000000000000000000e+00,1.295339683871313152e+00
1.000000000000000000e+00,2.000000000000000111e-01,7.000000000000000000e+00,1.246985774279606662e+00
1.000000000000000000e+00,2.000000000000000111e-01,8.000000000000000000e+00,1.199560402258374570e+00
1.000000000000000000e+00,2.000000000000000111e-01,9.000000000000000000e+00,1.153089119091061265e+00
1.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000000e+01,1.113907365757735857e+00
1.000000000000000000e+00,2.000000000000000111e-01,1.100000000000000000e+01,1.073546416032986173e+00
1.000000000000000000e+00,2.000000000000000111e-01,1.200000000000000000e+01,1.038367558823408476e+00
1.000000000000000000e+00,2.000000000000000111e-01,1.300000000000000000e+01,1.016626804083235358e+00
1.000000000000000000e+00,2.000000000000000111e-01,1.400000000000000000e+01,9.873596233855479465e-01
1.000000000000000000e+00,2.000000000000000111e-01,1.500000000000000000e+01,9.714932913907141643e-01
1.000000000000000000e+00,2.000000000000000111e-01,1.600000000000000000e+01,9.522481893179559620e-01
1.000000000000000000e+00,2.000000000000000111e-01,1.700000000000000000e+01,9.320019122507857690e-01
1.000000000000000000e+00,2.000000000000000111e-01,1.800000000000000000e+01,9.166427349136309077e-01
1.000000000000000000e+00,2.000000000000000111e-01,1.900000000000000000e+01,9.035978451523486443e-01
1.000000000000000000e+00,2.000000000000000111e-01,2.000000000000000000e+01,8.883760578521271434e-01
1.000000000000000000e+00,2.000000000000000111e-01,2.100000000000000000e+01,8.758485312709736181e-01
1.000000000000000000e+00,2.000000000000000111e-01,2.200000000000000000e+01,8.648937559178463408e-01
1.000000000000000000e+00,2.000000000000000111e-01,2.300000000000000000e+01,8.536129958125192596e-01
1.000000000000000000e+00,2.000000000000000111e-01,2.400000000000000000e+01,8.443778075863465071e-01
1.000000000000000000e+00,2.000000000000000111e-01,2.500000000000000000e+01,8.339868968533236115e-01
1.000000000000000000e+00,2.000000000000000111e-01,2.600000000000000000e+01,8.240310624414147744e-01
1.000000000000000000e+00,2.000000000000000111e-01,2.700000000000000000e+01,8.177115515431255810e-01
1.000000000000000000e+00,2.000000000000000111e-01,2.800000000000000000e+01,8.068718586590798436e-01
1.000000000000000000e+00,2.000000000000000111e-01,2.900000000000000000e+01,8.061600351349622606e-01
1.000000000000000000e+00,2.000000000000000111e-01,3.000000000000000000e+01,7.922182887749359415e-01
1.000000000000000000e+00,2.000000000000000111e-01,3.100000000000000000e+01,7.807168845305958449e-01
1.000000000000000000e+00,2.000000000000000111e-01,3.200000000000000000e+01,7.796718988216567725e-01
1.000000000000000000e+00,2.000000000000000111e-01,3.300000000000000000e+01,7.717158619247648232e-01
1.000000000000000000e+00,2.000000000000000111e-01,3.400000000000000000e+01,7.638172814870116678e-01
1.000000000000000000e+00,2.000000000000000111e-01,3.500000000000000000e+01,7.639066986171018092e-01
1.000000000000000000e+00,2.000000000000000111e-01,3.600000000000000000e+01,7.505916808508911187e-01
1.000000000000000000e+00,2.000000000000000111e-01,3.700000000000000000e+01,7.485226790802936847e-01
1.000000000000000000e+00,2.000000000000000111e-01,3.800000000000000000e+01,7.467329313361344978e-01
1.000000000000000000e+00,2.000000000000000111e-01,3.900000000000000000e+01,7.371748053416822266e-01
1.000000000000000000e+00,2.000000000000000111e-01,4.000000000000000000e+01,7.368259091024198515e-01
1.000000000000000000e+00,2.000000000000000111e-01,4.100000000000000000e+01,7.269297511385076627e-01
1.000000000000000000e+00,2.000000000000000111e-01,4.200000000000000000e+01,7.206502687683773445e-01
1.000000000000000000e+00,2.000000000000000111e-01,4.300000000000000000e+01,7.189610194144128164e-01
1.000000000000000000e+00,2.000000000000000111e-01,4.400000000000000000e+01,7.157154398243362747e-01
1.000000000000000000e+00,2.000000000000000111e-01,4.500000000000000000e+01,7.111585029563007865e-01
1.000000000000000000e+00,2.000000000000000111e-01,4.600000000000000000e+01,7.078888422431810490e-01
1.000000000000000000e+00,2.000000000000000111e-01,4.700000000000000000e+01,7.035113634172476260e-01
1.000000000000000000e+00,2.000000000000000111e-01,4.800000000000000000e+01,6.997039747512823205e-01
1.000000000000000000e+00,2.000000000000000111e-01,4.900000000000000000e+01,6.954762942987922081e-01
1.000000000000000000e+00,2.000000000000000111e-01,5.000000000000000000e+01,6.921659538514283172e-01
1.000000000000000000e+00,2.000000000000000111e-01,5.100000000000000000e+01,6.829536938160772896e-01
1.000000000000000000e+00,2.000000000000000111e-01,5.200000000000000000e+01,6.820278103250017043e-01
1.000000000000000000e+00,2.000000000000000111e-01,5.300000000000000000e+01,6.803885347023913566e-01
1.000000000000000000e+00,2.000000000000000111e-01,5.400000000000000000e+01,6.743212538686484958e-01
1.000000000000000000e+00,2.000000000000000111e-01,5.500000000000000000e+01,6.744504656965637501e-01
1.000000000000000000e+00,2.000000000000000111e-01,5.600000000000000000e+01,6.718568617905835705e-01
1.000000000000000000e+00,2.000000000000000111e-01,5.700000000000000000e+01,6.688896498801343293e-01
1.000000000000000000e+00,2.000000000000000111e-01,5.800000000000000000e+01,6.624717850427119803e-01
1.000000000000000000e+00,2.000000000000000111e-01,5.900000000000000000e+01,6.625359572884259585e-01
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,1.415479735065317879e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00,1.433556991386461643e+00
0.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+00,1.474438709549342308e+00
0.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.492813590600642337e+00
0.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,1.543211250183040617e+00
0.000000000000000000e+00,1.000000000000000000e+00,9.000000000000000000e+00,1.557194668413453664e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,1.547927864322850899e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.100000000000000000e+01,1.575071495749822192e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.200000000000000000e+01,1.590117128115606349e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.300000000000000000e+01,1.585137951295583214e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.400000000000000000e+01,1.603242325953258662e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01,1.615400853498327294e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.600000000000000000e+01,1.614095557656787916e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.700000000000000000e+01,1.619764512073045504e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.800000000000000000e+01,1.626011818266836384e+00
0.000000000000000000e+00,1.000000000000000000e+00,1.900000000000000000e+01,1.627536460561080478e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+01,1.630167163778665662e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.100000000000000000e+01,1.639253276814627958e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.200000000000000000e+01,1.638004358849852515e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.300000000000000000e+01,1.639894583853025001e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.400000000000000000e+01,1.641335642811928563e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e+01,1.639379438117035681e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.600000000000000000e+01,1.640054620533789365e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.700000000000000000e+01,1.637127653808442718e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.800000000000000000e+01,1.634136203335070592e+00
0.000000000000000000e+00,1.000000000000000000e+00,2.900000000000000000e+01,1.620131433041203328e+00
0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+01,1.635091465086127238e+00
0.000000000000000000e+00,1.000000000000000000e+00,3.100000000000000000e+01,1.621965178533184559e+00
0.000000000000000000e+00,1.000000000000000000e+00,3.200000000000000000e+01,1.620654609248922018e+00
0.000000000000000000e+00,1.000000000000000000e+00,3.300000000000000000e+01,1.607099056937641324e+00
0.000000000000000000e+00,1.000000000000000000e+00,3.400000000000000000e+01,1.601010472087807557e+00
0.000000000000000000e+00,1.000000000000000000e+00,3.500000000000000000e+01,1.587872738201464795e+00
0.000000000000000000e+00,1.000000000000000000e+00,3.600000000000000000e+01,1.583662442832370898e+00
0.000000000000000000e+00,1.000000000000000000e+00,3.700000000000000000e+01,1.589911448974272057e+00
0.000000000000000000e+00,1.000000000000000000e+00,3.800000000000000000e+01,1.585560493487726319e+00
0.000000000000000000e+00,1.000000000000000000e+00,3.900000000000000000e+01,1.568900634510037806e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,1.577880538111198216e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.100000000000000000e+01,1.543367845822335660e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.200000000000000000e+01,1.589726462949165420e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.300000000000000000e+01,1.535508152860736164e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.400000000000000000e+01,1.561626253235259609e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.500000000000000000e+01,1.534193447351851258e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.600000000000000000e+01,1.525394972558374196e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.700000000000000000e+01,1.515734554578575866e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.800000000000000000e+01,1.528341791254161475e+00
0.000000000000000000e+00,1.000000000000000000e+00,4.900000000000000000e+01,1.494954059944349600e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.508768967841801034e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.100000000000000000e+01,1.489121913554793952e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.200000000000000000e+01,1.493263316891928483e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.300000000000000000e+01,1.486317490540308706e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.400000000000000000e+01,1.472903989119920043e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.500000000000000000e+01,1.465407127010190935e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,1.449539148690549117e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.700000000000000000e+01,1.444720113661156935e+00
0.000000000000000000e+00,1.000000000000000000e+00,5.800000000000000000e+01,1.442143135072258664e+00
