smear,mass,nbins,Z
0.000000000000000000e+00,1.000000000000000000e+00,5.900000000000000000e+01,1.427623126947687782e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,1.416149855142190939e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00,1.427693474129989371e+00
1.000000000000000000e+00,1.000000000000000000e+00,6.000000000000000000e+00,1.460061901732450984e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.000000000000000000e+00,1.477323491785819787e+00
1.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,1.492583024001060688e+00
1.000000000000000000e+00,1.000000000000000000e+00,9.000000000000000000e+00,1.501042561944486264e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+01,1.504440105989912624e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.100000000000000000e+01,1.502681429248756695e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.200000000000000000e+01,1.497327291614215738e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.300000000000000000e+01,1.488931750213946525e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.400000000000000000e+01,1.475482177054702415e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01,1.470775520252866508e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.600000000000000000e+01,1.464083710817834838e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.700000000000000000e+01,1.445860273816308883e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.800000000000000000e+01,1.436865534306426051e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.900000000000000000e+01,1.421999816838248831e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+01,1.406779324329224590e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.100000000000000000e+01,1.397533498082251802e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.200000000000000000e+01,1.371674493157427621e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.300000000000000000e+01,1.370848846283411193e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.400000000000000000e+01,1.347723811894518064e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e+01,1.338440451509888218e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.600000000000000000e+01,1.329431406071726718e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.700000000000000000e+01,1.312819291108632047e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.800000000000000000e+01,1.299633140317032254e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.900000000000000000e+01,1.289957682882566958e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+01,1.268947606648015647e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.100000000000000000e+01,1.263524512341658745e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.200000000000000000e+01,1.252323427500420250e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.300000000000000000e+01,1.240225785149131177e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.400000000000000000e+01,1.229133859547542285e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.500000000000000000e+01,1.226626271344694930e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.600000000000000000e+01,1.204219246723909897e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.700000000000000000e+01,1.195143827228652533e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.800000000000000000e+01,1.191957433835333369e+00
1.000000000000000000e+00,1.000000000000000000e+00,3.900000000000000000e+01,1.181003813066840769e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+01,1.182097614800069474e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.100000000000000000e+01,1.161875715255038299e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.200000000000000000e+01,1.154319777503921785e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.300000000000000000e+01,1.148554088678157337e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.400000000000000000e+01,1.149011302847104954e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.500000000000000000e+01,1.131004063093743905e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.600000000000000000e+01,1.125532233187873210e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.700000000000000000e+01,1.109492005383861057e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.800000000000000000e+01,1.121080229593682809e+00
1.000000000000000000e+00,1.000000000000000000e+00,4.900000000000000000e+01,1.097252262291783298e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.091448703912297535e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.100000000000000000e+01,1.083558156925402249e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.200000000000000000e+01,1.070938663576049388e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.300000000000000000e+01,1.063528923768585210e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.400000000000000000e+01,1.062927605177289125e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.500000000000000000e+01,1.055722827603842617e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.600000000000000000e+01,1.054942420650442525e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.700000000000000000e+01,1.042950000943279720e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.800000000000000000e+01,1.036506032293539104e+00
1.000000000000000000e+00,1.000000000000000000e+00,5.900000000000000000e+01,1.034046181926581154e+00
0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,1.415082668487956941e+00
0.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00,1.412236926064489362e+00
0.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+00,1.384293442973336896e+00
0.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00,1.354923827162885619e+00
0.000000000000000000e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.349632985248868211e+00
0.000000000000000000e+00,4.000000000000000000e+00,9.000000000000000000e+00,1.354678539502819135e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+01,1.374557298561596586e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.100000000000000000e+01,1.388944781931544137e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.200000000000000000e+01,1.412339606630621303e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.300000000000000000e+01,1.437849866282332467e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.400000000000000000e+01,1.469541160897725574e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.500000000000000000e+01,1.495335846204589147e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.600000000000000000e+01,1.514996040921511744e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.700000000000000000e+01,1.544834072439014161e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.800000000000000000e+01,1.567086624353322577e+00
0.000000000000000000e+00,4.000000000000000000e+00,1.900000000000000000e+01,1.593353152919204430e+00
0.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+01,1.618499582597949793e+00
0.000000000000000000e+00,4.000000000000000000e+00,2.100000000000000000e+01,1.650272899685097272e+00
0.000000000000000000e+00,4.000000000000000000e+00,2.200000000000000000e+01,1.661627601294836554e+00
0.000000000000000000e+00,4.000000000000000000e+00,2.300000000000000000e+01,1.685421920618438429e+00
0.000000000000000000e+00,4.000000000000000000e+00,2.400000000000000000e+01,1.699575052486496762e+00
0.000000000000000000e+00,4.000000000000000000e+00,2.500000000000000000e+01,1.721584829846573461e+00
0.000000000000000000e+00,4.000000000000000000e+00,2.600000000000000000e+01,1.736234282187297584e+00
0.000000000000000000e+00,4.000000000000000000e+00,2.700000000000000000e+01,1.751537010770897629e+00
0.000000000000000000e+00,4.000000000000000000e+00,2.800000000000000000e+01,1.777551546544230199e+00
0.000000000000000000e+00,4.000000000000000000e+00,2.900000000000000000e+01,1.768007681126667840e+00
0.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+01,1.801563617951768448e+00
0.000000000000000000e+00,4.000000000000000000e+00,3.100000000000000000e+01,1.803926116476237018e+00
0.000000000000000000e+00,4.000000000000000000e+00,3.200000000000000000e+01,1.827298100845347939e+00
0.000000000000000000e+00,4.000000000000000000e+00,3.300000000000000000e+01,1.833659950475320377e+00
0.000000000000000000e+00,4.000000000000000000e+00,3.400000000000000000e+01,1.844626571966178741e+00
0.000000000000000000e+00,4.000000000000000000e+00,3.500000000000000000e+01,1.855574271724531821e+00
0.000000000000000000e+00,4.000000000000000000e+00,3.600000000000000000e+01,1.862985927010152087e+00
0.000000000000000000e+00,4.000000000000000000e+00,3.700000000000000000e+01,1.898792252481121157e+00
0.000000000000000000e+00,4.000000000000000000e+00,3.800000000000000000e+01,1.904310439187651749e+00
0.000000000000000000e+00,4.000000000000000000e+00,3.900000000000000000e+01,1.874058249570047296e+00
0.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+01,1.923749672373189945e+00
0.000000000000000000e+00,4.000000000000000000e+00,4.100000000000000000e+01,1.902458556545429280e+00
0.000000000000000000e+00,4.000000000000000000e+00,4.200000000000000000e+01,1.987982461964354908e+00
0.000000000000000000e+00,4.000000000000000000e+00,4.300000000000000000e+01,1.913225091209004747e+00
0.000000000000000000e+00,4.000000000000000000e+00,4.400000000000000000e+01,1.994791110391766153e+00
0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+01,1.999287354592382604e+00
0.000000000000000000e+00,4.000000000000000000e+00,4.600000000000000000e+01,1.987814605798440937e+00
0.000000000000000000e+00,4.000000000000000000e+00,4.700000000000000000e+01,1.978021977295429945e+00
0.000000000000000000e+00,4.000000000000000000e+00,4.800000000000000000e+01,2.004355431833354295e+00
0.000000000000000000e+00,4.000000000000000000e+00,4.900000000000000000e+01,1.988487187117220500e+00
0.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+01,2.008212612813710773e+00
0.000000000000000000e+00,4.000000000000000000e+00,5.100000000000000000e+01,2.002345742324426414e+00
0.000000000000000000e+00,4.000000000000000000e+00,5.200000000000000000e+01,2.005796887467495182e+00
0.000000000000000000e+00,4.000000000000000000e+00,5.300000000000000000e+01,1.995860016663400405e+00
0.000000000000000000e+00,4.000000000000000000e+00,5.400000000000000000e+01,2.004158806908083790e+00
0.000000000000000000e+00,4.000000000000000000e+00,5.500000000000000000e+01,2.009746187655921279e+00
0.000000000000000000e+00,4.000000000000000000e+00,5.600000000000000000e+01,2.013177925286939729e+00
0.000000000000000000e+00,4.000000000000000000e+00,5.700000000000000000e+01,2.009356926745466065e+00
0.000000000000000000e+00,4.000000000000000000e+00,5.800000000000000000e+01,2.011695804867593473e+00
0.000000000000000000e+00,4.000000000000000000e+00,5.900000000000000000e+01,2.007344806561921935e+00
1.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00,1.382411903978703283e+00
1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00,1.380838315855477116e+00
1.000000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+00,1.365588128235821097e+00
1.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00,1.345802310655227707e+00
1.000000000000000000e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.326946797304202175e+00
1.000000000000000000e+00,4.000000000000000000e+00,9.000000000000000000e+00,1.327387054683020651e+00
1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+01,1.336590388971627297e+00
1.000000000000000000e+00,4.000000000000000000e+00,1.100000000000000000e+01,1.351860706619736785e+00
1.000000000000000000e+00,4.000000000000000000e+00,1.200000000000000000e+01,1.370374120789570327e+00
1.000000000000000000e+00,4.000000000000000000e+00,1.300000000000000000e+01,1.391035519431266243e+00
1.000000000000000000e+00,4.000000000000000000e+00,1.400000000000000000e+01,1.414621116464638728e+00
1.000000000000000000e+00,4.000000000000000000e+00,1.500000000000000000e+01,1.443951813647849081e+00
1.000000000000000000e+00,4.000000000000000000e+00,1.600000000000000000e+01,1.464781797021257326e+00
1.000000000000000000e+00,4.000000000000000000e+00,1.700000000000000000e+01,1.486426442608865583e+00
1.000000000000000000e+00,4.000000000000000000e+00,1.800000000000000000e+01,1.508581566376293814e+00
1.000000000000000000e+00,4.000000000000000000e+00,1.900000000000000000e+01,1.523501503829841841e+00
1.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+01,1.540270474484199958e+00
1.000000000000000000e+00,4.000000000000000000e+00,2.100000000000000000e+01,1.563523323422544520e+00
1.000000000000000000e+00,4.000000000000000000e+00,2.200000000000000000e+01,1.570287208446378591e+00
1.000000000000000000e+00,4.000000000000000000e+00,2.300000000000000000e+01,1.594598862437694553e+00
1.000000000000000000e+00,4.000000000000000000e+00,2.400000000000000000e+01,1.599068508855040038e+00
1.000000000000000000e+00,4.000000000000000000e+00,2.500000000000000000e+01,1.607861177725550483e+00
1.000000000000000000e+00,4.000000000000000000e+00,2.600000000000000000e+01,1.622334553537644553e+00
1.000000000000000000e+00,4.000000000000000000e+00,2.700000000000000000e+01,1.622821525908165752e+00
1.000000000000000000e+00,4.000000000000000000e+00,2.800000000000000000e+01,1.631056052787016375e+00
1.000000000000000000e+00,4.000000000000000000e+00,2.900000000000000000e+01,1.645280652367018481e+00
1.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+01,1.634074795881323761e+00
1.000000000000000000e+00,4.000000000000000000e+00,3.100000000000000000e+01,1.628483464437669559e+00
1.000000000000000000e+00,4.000000000000000000e+00,3.200000000000000000e+01,1.638541076828956333e+00
1.000000000000000000e+00,4.000000000000000000e+00,3.300000000000000000e+01,1.636269233351497432e+00
1.000000000000000000e+00,4.000000000000000000e+00,3.400000000000000000e+01,1.625163790114185325e+00
1.000000000000000000e+00,4.000000000000000000e+00,3.500000000000000000e+01,1.634705214357184300e+00
1.000000000000000000e+00,4.000000000000000000e+00,3.600000000000000000e+01,1.616747780575645166e+00
1.000000000000000000e+00,4.000000000000000000e+00,3.700000000000000000e+01,1.610707097709866531e+00
1.000000000000000000e+00,4.000000000000000000e+00,3.800000000000000000e+01,1.628308728718374399e+00
1.000000000000000000e+00,4.000000000000000000e+00,3.900000000000000000e+01,1.613961425417493434e+00
1.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+01,1.624244414535550574e+00
1.000000000000000000e+00,4.000000000000000000e+00,4.100000000000000000e+01,1.616624061590817174e+00
1.000000000000000000e+00,4.000000000000000000e+00,4.200000000000000000e+01,1.596098870854914420e+00
1.000000000000000000e+00,4.000000000000000000e+00,4.300000000000000000e+01,1.610673591431657892e+00
1.000000000000000000e+00,4.000000000000000000e+00,4.400000000000000000e+01,1.599904876209985227e+00
1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+01,1.595032977818289677e+00
1.000000000000000000e+00,4.000000000000000000e+00,4.600000000000000000e+01,1.572653840279642168e+00
1.000000000000000000e+00,4.000000000000000000e+00,4.700000000000000000e+01,1.564385764177752769e+00
1.000000000000000000e+00,4.000000000000000000e+00,4.800000000000000000e+01,1.601369309263702023e+00
1.000000000000000000e+00,4.000000000000000000e+00,4.900000000000000000e+01,1.560038638737313965e+00
1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+01,1.563946416621728730e+00
1.000000000000000000e+00,4.000000000000000000e+00,5.100000000000000000e+01,1.555901889893684276e+00
1.000000000000000000e+00,4.000000000000000000e+00,5.200000000000000000e+01,1.544092281262106070e+00
1.000000000000000000e+00,4.000000000000000000e+00,5.300000000000000000e+01,1.542435829187129182e+00
1.000000000000000000e+00,4.000000000000000000e+00,5.400000000000000000e+01,1.537260868209504805e+00
1.000000000000000000e+00,4.000000000000000000e+00,5.500000000000000000e+01,1.519114026138948859e+00
1.000000000000000000e+00,4.000000000000000000e+00,5.600000000000000000e+01,1.518066700801261160e+00
1.000000000000000000e+00,4.000000000000000000e+00,5.700000000000000000e+01,1.508153729756529504e+00
1.000000000000000000e+00,4.000000000000000000e+00,5.800000000000000000e+01,1.502448748620145880e+00
1.000000000000000000e+00,4.000000000000000000e+00,5.900000000000000000e+01,1.487091270705865220e+00
